#complex,groundtruth,simplifiedcomplex,simplifiedgroundtruth,z3flag,simtime
(x&y)*(x|y)+(x&~y)*(~x&y),x*y,x*y,x*y,True,0.2331240177154541
(x&x)*(x|x)+(x&~x)*(~x&x),x*x,x*x,x*x,True,0.005986213684082031
(x&y)*(x|y)+(x&~y)*(~x&y)-41,x*y-41,x*y+41*~(x&~x),x*y+41*~(x&~x),True,0.01975274085998535
(x&y)*(x|y)+(x&~y)*(~x&y)-165,x*y-165,x*y+165*~(x&~x),x*y+165*~(x&~x),True,0.01916980743408203
(x&y)*(x|y)+(x&~y)*(~x&y)-113,x*y-113,x*y+113*~(x&~x),x*y+113*~(x&~x),True,0.01897907257080078
(x&y)*(x|y)+(x&~y)*(~x&y)+35,x*y+35,x*y-35*~(x&~x),x*y-35*~(x&~x),True,0.02086043357849121
(x&y)*(x|y)+(x&~y)*(~x&y)+237,x*y+237,x*y-237*~(x&~x),x*y-237*~(x&~x),True,0.020564794540405273
(x&y)*(x|y)+(x&~y)*(~x&y)-101,x*y-101,x*y+101*~(x&~x),x*y+101*~(x&~x),True,0.019071578979492188
(x&y)*(x|y)+(x&~y)*(~x&y)+46,x*y+46,x*y-46*~(x&~x),x*y-46*~(x&~x),True,0.02012920379638672
(x&y)*(x|y)+(x&~y)*(~x&y)-129,x*y-129,x*y+129*~(x&~x),x*y+129*~(x&~x),True,0.01912546157836914
(x&y)*(x|y)+(x&~y)*(~x&y)-157,x*y-157,x*y+157*~(x&~x),x*y+157*~(x&~x),True,0.018862485885620117
(x&y)*(x|y)+(x&~y)*(~x&y)-83,x*y-83,x*y+83*~(x&~x),x*y+83*~(x&~x),True,0.019857168197631836
(x&y)*(x|y)+(x&~y)*(~x&y)+5,x*y+5,x*y-5*~(x&~x),x*y-5*~(x&~x),True,0.019845962524414062
(x&y)*(x|y)+(x&~y)*(~x&y)-131,x*y-131,x*y+131*~(x&~x),x*y+131*~(x&~x),True,0.019246339797973633
(x&y)*(x|y)+(x&~y)*(~x&y)-248,x*y-248,x*y+248*~(x&~x),x*y+248*~(x&~x),True,0.019397735595703125
(x&y)*(x|y)+(x&~y)*(~x&y)+4,x*y+4,x*y-4*~(x&~x),x*y-4*~(x&~x),True,0.020198822021484375
(x&y)*(x|y)+(x&~y)*(~x&y)-27,x*y-27,x*y+27*~(x&~x),x*y+27*~(x&~x),True,0.019252300262451172
