#complex,groundtruth,simcomplex,simground,boolectorres,verificationtime
(x&y)*(x|y)+(x&~y)*(~x&y),x*y,x*y, x*y,True,0.00047492980957
(x&x)*(x|x)+(x&~x)*(~x&x),x*x,x*x, x*x,True,0.000219106674194
(x&y)*(x|y)+(x&~y)*(~x&y)-41,x*y-41,x*y+41*~(x&~x), x*y+41*~(x&~x),True,0.000242948532104
(x&y)*(x|y)+(x&~y)*(~x&y)-165,x*y-165,x*y+165*~(x&~x), x*y+165*~(x&~x),True,0.000226020812988
(x&y)*(x|y)+(x&~y)*(~x&y)-113,x*y-113,x*y+113*~(x&~x), x*y+113*~(x&~x),True,0.000218868255615
(x&y)*(x|y)+(x&~y)*(~x&y)+35,x*y+35,x*y-35*~(x&~x), x*y-35*~(x&~x),True,0.000220060348511
(x&y)*(x|y)+(x&~y)*(~x&y)+237,x*y+237,x*y-237*~(x&~x), x*y-237*~(x&~x),True,0.000219106674194
(x&y)*(x|y)+(x&~y)*(~x&y)-101,x*y-101,x*y+101*~(x&~x), x*y+101*~(x&~x),True,0.00021505355835
(x&y)*(x|y)+(x&~y)*(~x&y)+46,x*y+46,x*y-46*~(x&~x), x*y-46*~(x&~x),True,0.000225067138672
(x&y)*(x|y)+(x&~y)*(~x&y)-129,x*y-129,x*y+129*~(x&~x), x*y+129*~(x&~x),True,0.000217914581299
(x&y)*(x|y)+(x&~y)*(~x&y)-157,x*y-157,x*y+157*~(x&~x), x*y+157*~(x&~x),True,0.00021505355835
(x&y)*(x|y)+(x&~y)*(~x&y)-83,x*y-83,x*y+83*~(x&~x), x*y+83*~(x&~x),True,0.000213861465454
(x&y)*(x|y)+(x&~y)*(~x&y)+5,x*y+5,x*y-5*~(x&~x), x*y-5*~(x&~x),True,0.000219821929932
(x&y)*(x|y)+(x&~y)*(~x&y)-131,x*y-131,x*y+131*~(x&~x), x*y+131*~(x&~x),True,0.000214815139771
(x&y)*(x|y)+(x&~y)*(~x&y)-248,x*y-248,x*y+248*~(x&~x), x*y+248*~(x&~x),True,0.000213146209717
(x&y)*(x|y)+(x&~y)*(~x&y)+4,x*y+4,x*y-4*~(x&~x), x*y-4*~(x&~x),True,0.00022292137146
(x&y)*(x|y)+(x&~y)*(~x&y)-27,x*y-27,x*y+27*~(x&~x), x*y+27*~(x&~x),True,0.000214815139771
(x&y)*(x|y)+(x&~y)*(~x&y)+15,x*y+15,x*y-15*~(x&~x), x*y-15*~(x&~x),True,0.000213861465454
